"filename", "language", "Properties", "YAML", "Groovy", "Markdown", "Dart", "XML", "C++", "JSON", "Swift", "comment", "blank", "total"
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\home.dart", "Dart", 0, 0, 0, 0, 233, 0, 0, 0, 0, 0, 14, 247
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\infouser.dart", "Dart", 0, 0, 0, 0, 263, 0, 0, 0, 0, 0, 14, 277
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\login_page.dart", "Dart", 0, 0, 0, 0, 477, 0, 0, 0, 0, 3, 20, 500
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\new_user.dart", "Dart", 0, 0, 0, 0, 325, 0, 0, 0, 0, 0, 15, 340
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\profile.dart", "Dart", 0, 0, 0, 0, 302, 0, 0, 0, 0, 1, 9, 312
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\recoverpassword.dart", "Dart", 0, 0, 0, 0, 239, 0, 0, 0, 0, 0, 12, 251
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\splashscreen.dart", "Dart", 0, 0, 0, 0, 67, 0, 0, 0, 0, 3, 9, 79
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\support.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 3, 44
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\task.dart", "Dart", 0, 0, 0, 0, 123, 0, 0, 0, 0, 0, 7, 130
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\termandconditions.dart", "Dart", 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 3, 29
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\termcond.dart", "Dart", 0, 0, 0, 0, 98, 0, 0, 0, 0, 0, 4, 102
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\test.dart", "Dart", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 2, 24
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\pages\verifiedinstagram.dart", "Dart", 0, 0, 0, 0, 99, 0, 0, 0, 0, 0, 7, 106
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\provider\user.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 4, 14
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\ui\to_appbar.dart", "Dart", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 3, 49
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\ui\to_cardtask.dart", "Dart", 0, 0, 0, 0, 168, 0, 0, 0, 0, 0, 6, 174
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\ui\to_colorbutton.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 40
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\ui\to_confirmationdialog.dart", "Dart", 0, 0, 0, 0, 77, 0, 0, 0, 0, 0, 2, 79
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\ui\to_dialog.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\ui\to_listcard.dart", "Dart", 0, 0, 0, 0, 190, 0, 0, 0, 0, 2, 9, 201
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\ui\to_settingbutton.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 5, 39
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\ui\to_socialbutton.dart", "Dart", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 3, 56
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\ui\to_stories.dart", "Dart", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 9, 45
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\ui\to_strokebutton.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 4, 42
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\lib\ui\to_textinput.dart", "Dart", 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 4, 78
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\pubspec.yaml", "YAML", 0, 52, 0, 0, 0, 0, 0, 0, 0, 31, 16, 99
"c:\Users\benit\Documents\Git\ecoheroes\ecoheroes-userapp\test\widget_test.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 0, 7, 6, 23
"c:\Users\benit\Documents\Git\ecoheroes\ui\assets\AppIcons\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\benit\Documents\Git\ecoheroes\ui\assets\Subtraction 1.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"c:\Users\benit\Documents\Git\ecoheroes\ui\assets\botanico.svg", "XML", 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 1, 29
"c:\Users\benit\Documents\Git\ecoheroes\ui\assets\commerce-and-shopping.svg", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 1, 20
"c:\Users\benit\Documents\Git\ecoheroes\ui\assets\conversation.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\benit\Documents\Git\ecoheroes\ui\assets\directions.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\benit\Documents\Git\ecoheroes\ui\assets\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\benit\Documents\Git\ecoheroes\ui\assets\mark.svg", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 1, 12
"c:\Users\benit\Documents\Git\ecoheroes\ui\assets\noun_Check Circle_2349309.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 7
"c:\Users\benit\Documents\Git\ecoheroes\ui\assets\search.svg", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 0, 1, 1, 12
"c:\Users\benit\Documents\Git\ecoheroes\ui\assets\social.svg", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"Total", "-", 14, 52, 108, 17, 4201, 235, 1, 186, 12, 200, 305, 5331
